"id","created_at","name","has_test","alternate_url"
"122378846","2025-07-04T09:39:43+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/122378846"
"122674298","2025-07-10T17:44:56+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/122674298"
"123051512","2025-07-21T12:47:42+0300","Data Scientist",false,"https://hh.ru/vacancy/123051512"
"123110215","2025-07-22T14:54:12+0300","Middle data scientist (классический ml)",false,"https://hh.ru/vacancy/123110215"
"123142961","2025-07-23T12:09:59+0300","Data Scientist",false,"https://hh.ru/vacancy/123142961"
"123302703","2025-07-28T10:52:08+0300","Data Scientist (Antifraud), г. Якутск",false,"https://hh.ru/vacancy/123302703"
"123353997","2025-07-29T10:36:40+0300","Data Scientist (математик)",false,"https://hh.ru/vacancy/123353997"
"123363429","2025-07-29T12:37:54+0300","ML-инженер (Фото/Видео обработка) Data Scientist",false,"https://hh.ru/vacancy/123363429"
"123366738","2025-07-29T13:03:23+0300","Data Scientist",false,"https://hh.ru/vacancy/123366738"
"123405149","2025-07-30T09:03:41+0300","Data Scientist ( направление рекомендательных систем )",false,"https://hh.ru/vacancy/123405149"
"123410978","2025-07-30T10:25:22+0300","Специалист по анализу данных/ Data Scientist",false,"https://hh.ru/vacancy/123410978"
"123441557","2025-07-30T18:17:30+0300","Data Scientist",false,"https://hh.ru/vacancy/123441557"
"123449297","2025-07-31T08:47:09+0300","Data-scientist",false,"https://hh.ru/vacancy/123449297"
"123451455","2025-07-31T09:29:08+0300","Data Scientist",false,"https://hh.ru/vacancy/123451455"
"123463613","2025-07-31T12:22:06+0300","Data Scientist / ML-инженер",false,"https://hh.ru/vacancy/123463613"
"123256351","2025-07-31T13:44:28+0300","Data Analyst / Data Scientist",false,"https://hh.ru/vacancy/123256351"
"123484931","2025-07-31T16:51:20+0300","Engineering Manager / Team Lead",false,"https://hh.ru/vacancy/123484931"
"123505974","2025-08-01T09:24:12+0300","Data Scientist (NLP)",false,"https://hh.ru/vacancy/123505974"
"123509957","2025-08-01T10:29:52+0300","Data Scientist",false,"https://hh.ru/vacancy/123509957"
"123510157","2025-08-01T10:33:37+0300","Data Scientist (Middle+/Senior)",false,"https://hh.ru/vacancy/123510157"
